Article,Point,Content
Art. 50,1,"głosowanie wniosku o odrzucenie projektu w całości, jeżeli wniosek taki został postawiony,"
Art. 50,2,"głosowanie poprawek do poszczególnych artykułów, przy czym w pierwszej kolejności głosuje się poprawki, których przyjęcie lub odrzucenie rozstrzyga o innych poprawkach,"
Art. 50,3,"głosowanie projektu w całości w brzmieniu zaproponowanym przez komisje, ze zmianami wynikającymi z przegłosowanych poprawek."
Art. 50,2,Marszałek Sejmu ustala porządek głosowania projektów uchwał i poprawek do nich.
Art. 50,3,"Marszałek Sejmu może z własnej inicjatywy odmówić poddania pod głosowanie poprawki, która uprzednio nie była przedłożona komisji w formie pisemnej."
Art. 50,4,"Marszałek Sejmu może odroczyć głosowanie nad całością projektu ustawy na czas potrzebny do stwierdzenia, czy wskutek przyjętych poprawek nie zachodzą sprzeczności pomiędzy poszczególnymi przepisami."
Art. 50,5,"Marszałek Sejmu kieruje projekt, o którym mowa w ust. 4, do komisji, które go rozpatrywały, lub do Komisji Ustawodawczej w celu przedstawienia opinii, czy wskutek przyjętych poprawek nie zachodzą sprzeczności pomiędzy poszczególnymi przepisami. Opinia zawiera również stanowisko komisji w sprawie przyjęcia albo odrzucenia projektu ustawy przez Sejm."
Art. 50,6,"Sejm może postanowić poddanie projektu ustawy pod głosowanie w całości, łącznie z poprawkami, jeżeli nie zgłoszono w tym zakresie sprzeciwu."
Art. 51,,Sejm w szczególnie uzasadnionych wypadkach może skrócić postępowanie z projektami ustaw oraz uchwał przez:
Art. 51,1,"przystąpienie do pierwszego czytania niezwłocznie po otrzymaniu przez posłów projektu,"
Art. 51,2,"przystąpienie do drugiego czytania niezwłocznie po zakończeniu pierwszego bez odsyłania projektu do komisji,"
Art. 51,3,przystąpienie do drugiego czytania niezwłocznie po otrzymaniu przez posłów druku sprawozdania komisji.
Art. 52,1,Marszałek Sejmu przesyła niezwłocznie Marszałkowi Senatu i Prezydentowi potwierdzony swoim podpisem tekst uchwalonej przez Sejm ustawy.
Art. 52,2,"Tekst ustawy, o którym mowa w ust. 1, dostarcza się posłom."
Art. 53,1,"O powziętych przez Sejm uchwałach Marszałek Sejmu zawiadamia Prezydenta, Marszałka Senatu i Prezesa Rady Ministrów oraz przesyła im podpisane przez siebie teksty uchwał."
Art. 53,2,"Prezes Rady Ministrów zarządza ogłoszenie uchwały Sejmu w Dzienniku Urzędowym Rzeczypospolitej Polskiej ""Monitor Polski"", jeżeli Marszałek Sejmu tak postanowi."
Art. 54,1,"40) Uchwałę Senatu zawierającą poprawki do ustawy uchwalonej przez Sejm albo odrzucającą ustawę w całości Marszałek Sejmu kieruje do rozpatrzenia przez komisje, które projekt ustawy rozpatrywały. Do poprawek Senatu stosuje się odpowiednio art. 42 ust. 1."
Art. 54,2,"Do udziału w posiedzeniu, na którym jest rozpatrywana uchwała Senatu, komisje zapraszają senatora sprawozdawcę reprezentującego komisje Senatu, które omawianą ustawę rozpatrywały. Przewodniczący posiedzenia udziela głosu senatorowi sprawozdawcy, na jego wniosek, poza kolejnością wystąpień. Nieobecność senatora sprawozdawcy nie wstrzymuje rozpatrzenia uchwały."
Art. 54,2," 41) W przypadku gdy istnieje wątpliwość, czy uchwała Senatu odrzucająca ustawę w całości albo poprawki zaproponowane w uchwale Senatu nie są sprzeczne z prawem Unii Europejskiej, komisje mogą wystąpić do ministra właściwego do spraw członkostwa Rzeczypospolitej Polskiej w Unii Europejskiej o opinię w tym zakresie. Termin przedstawienia opinii określają komisje."
Art. 54,3,Komisje po rozpatrzeniu uchwały Senatu przedkładają Sejmowi sprawozdanie. W sprawozdaniu tym komisje przedstawiają wniosek o odrzucenie lub przyjęcie wszystkich albo niektórych poprawek zawartych w uchwale Senatu bądź o odrzucenie albo przyjęcie uchwały Senatu o odrzuceniu ustawy w całości.
Art. 54,4,Marszałek Sejmu zarządza drukowanie uchwały Senatu i sprawozdania komisji oraz doręczenie ich posłom.
Art. 54,5,"Rozpatrzenie sprawozdania komisji przez Sejm może odbyć się nie wcześniej niż trzeciego dnia od doręczenia posłom tego sprawozdania, chyba że Sejm postanowi inaczej."
Art. 54,5," 42) Sejm rozpatruje sprawozdanie komisji, wysłuchując jedynie sprawozdawcy. Nad sprawozdaniem tym nie przeprowadza się dyskusji, chyba że Sejm postanowi inaczej."
Art. 54,6,"Marszałek Sejmu poddaje pod głosowanie wnioski o odrzucenie poszczególnych poprawek, chyba że ze sprawozdania komisji wynika celowość głosowania łącznego nad częścią lub całością poprawek zawartych w uchwale Senatu."
Art. 54,7,"Uchwałę Senatu o odrzuceniu ustawy lub poprawkę zaproponowaną w uchwale Senatu uważa się za przyjętą, jeżeli Sejm nie odrzuci jej bezwzględną większością głosów w obecności co najmniej połowy ustawowej liczby posłów."
Art. 54,8,"Sejm, na wniosek Marszałka Sejmu, może rozpatrzyć poprawki zawarte w uchwale Senatu bez uprzedniego skierowania jej do komisji."
Art. 55,,"Marszałek Sejmu informuje Sejm o uchwałach Senatu przyjmujących bez zmian ustawę uchwaloną przez Sejm oraz o ustawach uchwalonych przez Sejm, co do których Senat nie podjął uchwały."
Art. 56,,"Niezwłocznie po ustaleniu tekstu ustawy w wyniku rozpatrzenia uchwały Senatu albo po uzyskaniu informacji o przyjęciu ustawy przez Senat bądź po bezskutecznym upływie terminu do podjęcia uchwały Senatu Marszałek Sejmu przesyła Prezydentowi tekst ustawy, potwierdzony swoim podpisem."
Art. 57,1,"Wystąpienie Prezydenta o przedstawienie opinii w sprawie ustawy, której poszczególne przepisy Trybunał Konstytucyjny uznał za niezgodne z Konstytucją, Marszałek Sejmu kieruje do komisji, które rozpatrywały projekt ustawy przed uchwaleniem jej przez Sejm, przekazując im jednocześnie wyrok Trybunału Konstytucyjnego dotyczący tej ustawy, wraz z uzasadnieniem."
Art. 57,2,"Komisje, nie później niż w ciągu 14 dni od dnia skierowania pisma Prezydenta do komisji, przedstawiają Marszałkowi Sejmu stanowisko co do celowości zwrócenia ustawy Sejmowi albo podpisania jej przez Prezydenta z pominięciem przepisów uznanych za niezgodne z Konstytucją."
Art. 57,3,Marszałek Sejmu może ustalić krótszy termin przedstawienia stanowiska komisji.
Art. 58,1,"Usunięciem niezgodności, w wypadku zwrócenia ustawy Sejmowi przez Prezydenta, jest uchwalenie tekstu odpowiednich zmian przepisów, które Trybunał Konstytucyjny uznał za niezgodne z Konstytucją, z zachowaniem ich dotychczasowego zakresu przedmiotowego."
Art. 58,2,"Usunięcie niezgodności może dotyczyć również niezbędnych zmian redakcyjnych mających na celu dostosowanie innych przepisów ustawy do przepisów zmienionych z zachowaniem zakresu, o którym mowa w ust. 1."
Art. 59,1,"Zwróconą ustawę Marszałek Sejmu kieruje do komisji, które rozpatrywały jej projekt przed uchwaleniem przez Sejm; Marszałek Sejmu może wyznaczyć komisjom termin przedstawienia sprawozdania."
Art. 59,2,"Pierwsze posiedzenie komisji obejmuje przedstawienie wyroku Trybunału Konstytucyjnego oraz wystąpienia Prezydenta w sprawie zwrócenia ustawy Sejmowi, a także debatę w sprawie założeń koniecznych zmian w ustawie; do udziału w tym posiedzeniu komisje zapraszają również przedstawiciela Prezydenta."
Art. 59,2," 43) W przypadku gdy istnieje wątpliwość, czy proponowane przez komisje zmiany w zwróconej ustawie nie są sprzeczne z prawem Unii Europejskiej, komisje mogą wystąpić do ministra właściwego do spraw członkostwa Rzeczypospolitej Polskiej w Unii Europejskiej o opinię w tym zakresie. Termin przedstawienia opinii określają komisje."
Art. 59,3,Sprawozdanie komisji obejmuje propozycje tekstu zmian zwróconej ustawy oraz uzasadnienie konieczności ich wprowadzenia w rozumieniu art. 58.
Art. 59,4,"44) W sprawach nieuregulowanych stosuje się przepisy art. 38, 40, 41, 42 ust. 1 i 3 oraz art. 43."
Art. 60,1,"W debacie nad sprawozdaniem komisji niedopuszczalne jest zgłaszanie poprawek wykraczających poza zakres, o którym mowa w art. 58."
Art. 60,2,W sprawach nieuregulowanych stosuje się przepisy art. 44-49.
Art. 61,1,"głosowanie poszczególnych poprawek do zmian,"
Art. 61,2,"głosowanie tekstu zmian w całości, z uwzględnieniem przyjętych poprawek."
Art. 61,2,Marszałek Sejmu odmawia poddania pod głosowanie poprawek wykraczających poza zakres określony w art. 58.
Art. 61,3,"Przed podjęciem decyzji, o której mowa w ust. 2, Marszałek Sejmu może zasięgnąć opinii Komisji Ustawodawczej."
Art. 61,4,W sprawach nieuregulowanych stosuje się przepisy art. 50 ust. 3-6.
Art. 62,1,Marszałek Sejmu przesyła Marszałkowi Senatu i Prezydentowi uchwałę Sejmu w sprawie usunięcia niezgodności w ustawie oraz uzasadnienie konieczności ich wprowadzenia w rozumieniu art. 58.
Art. 62,2,"W sprawach nieuregulowanych stosuje się przepisy art. 52, 54 i 55."
Art. 63,1,"Marszałek Sejmu przesyła Prezydentowi tekst ustawy ze wskazaniem zmian wynikających z usunięcia niezgodności, ustalonych w wyniku rozpatrzenia jej przez Sejm i Senat, oraz uzasadnienie konieczności ich wprowadzenia w rozumieniu art. 58."
Art. 63,2,W sprawach nieuregulowanych stosuje się przepis art. 56.
Art. 64,1,"Ustawę, której podpisania Prezydent odmówił, przekazując ją wraz z umotywowanym wnioskiem Sejmowi do ponownego rozpatrzenia, Marszałek Sejmu kieruje do komisji, które rozpatrywały projekt ustawy przed uchwaleniem jej przez Sejm."
Art. 64,2,"Marszałek Sejmu zarządza drukowanie wniosku Prezydenta, o którym mowa w ust. 1, i doręczenie go posłom."
Art. 64,3,"Po rozpatrzeniu wniosku Prezydenta komisje, do których wniosek ten został skierowany, przedkładają Sejmowi sprawozdanie. W sprawozdaniu tym komisje przedstawiają wniosek o ponowne uchwalenie ustawy w brzmieniu dotychczasowym bądź wniosek przeciwny."
Art. 64,4,"Na posiedzeniu Sejmu przedstawiciel Prezydenta, w jego imieniu, przedstawia motywację wniosku o ponowne rozpatrzenie ustawy przez Sejm, a następnie poseł sprawozdawca przedstawia stanowisko komisji."
Art. 64,5,"O ponownym uchwaleniu przez Sejm ustawy w brzmieniu dotychczasowym, większością 3/5 głosów w obecności co najmniej połowy ustawowej liczby posłów, Marszałek Sejmu powiadamia niezwłocznie Prezydenta."
Art. 64,6,"Jeżeli Sejm ponownie nie uchwali ustawy w brzmieniu dotychczasowym, postępowanie ustawodawcze ulega zamknięciu."
Art. 65,1,Sejm rozpatruje wniosek o przeprowadzenie referendum ogólnokrajowego przedstawiony przez podmioty wskazane w ustawie.
Art. 65,2,Wniosek o przeprowadzenie referendum przedstawiciel lub pełnomocnik wnioskodawcy składa na ręce Marszałka Sejmu.
Art. 65,3,"Sejm może postanowić o poddaniu określonej sprawy pod referendum z własnej inicjatywy na wniosek złożony przez Prezydium Sejmu, komisję sejmową lub co najmniej 69 posłów; art. 34 ust. 1 stosuje się odpowiednio; do wniosku dołącza się uzasadnienie."
Art. 65,4,Marszałek Sejmu kieruje wniosek na posiedzenie Sejmu; art. 37 ust. 2 stosuje się odpowiednio.
Art. 65,5,"Przedstawiciel lub pełnomocnik wnioskodawcy na posiedzeniu Sejmu uzasadnia wniosek i odpowiada na pytania posłów, a także ma prawo uczestniczenia w posiedzeniach komisji, o której mowa w art. 66 ust. 3."
Art. 66,1,"Rozpatrzenie wniosku obejmuje jego uzasadnienie przez wnioskodawcę, pytania posłów i odpowiedzi wnioskodawcy oraz debatę."
Art. 66,2,Po rozpatrzeniu wniosku Sejm bezwzględną większością głosów w obecności co najmniej połowy ustawowej liczby posłów podejmuje uchwałę w sprawie jego przyjęcia; niepodjęcie uchwały w sprawie przyjęcia wniosku oznacza jego nieuwzględnienie.
Art. 66,3,W razie przyjęcia wniosku Sejm kieruje go do Komisji Ustawodawczej w celu przygotowania i przedstawienia projektu uchwały o przeprowadzeniu referendum.
Art. 67,1,"Projekt uchwały opracowany przez komisję na podstawie wniosku, o którym mowa w art. 65 ust. 1, w części dotyczącej treści karty do głosowania nie może zmieniać zakresu przedmiotowego wniosku rozpatrzonego przez Sejm ani merytorycznej treści pytań lub wariantów rozwiązań."
Art. 67,2,"W przypadkach określonych w ust. 1 Marszałek Sejmu nie poddaje pod głosowanie poprawek, w tym również pochodzących od wnioskodawcy, albo wniosków mniejszości, zmieniających zakres przedmiotowy wniosku lub merytoryczną treść pytań lub wariantów rozwiązań."
Art. 68,,Sejm podejmuje uchwałę o przeprowadzeniu referendum bezwzględną większością głosów w obecności co najmniej połowy ustawowej liczby posłów.
Art. 69,1,W trybie przewidzianym dla uchwał Sejm może podejmować:
Art. 69,1,"rezolucje - zawierające wezwanie określonego organu państwowego do podjęcia wskazanego w rezolucji jednorazowego działania,"
Art. 69,2,deklaracje - zawierające zobowiązanie do określonego postępowania.
Art. 69,2,Ponadto Sejm może podejmować:
Art. 69,1,"apele - zawierające wezwanie do określonego zachowania się, podjęcia inicjatywy lub zadania,"
Art. 69,2,oświadczenia - zawierające stanowisko w określonej sprawie.
Art. 70,1,"W postępowaniu dotyczącym projektów ustaw i uchwał uczestniczy przedstawiciel służby prawnej Kancelarii Sejmu, przedstawiając wnioski lub uwagi w zakresie problematyki prawno-legislacyjnej, w tym w sprawie zgodności projektów ustaw z prawem Unii Europejskiej."
Art. 70,2,"Marszałek Sejmu może zwrócić się do komisji o ustosunkowanie się do nieuwzględnionych wniosków lub uwag służby prawnej Kancelarii Sejmu dotyczących istotnych problemów legislacyjnych, a także zgodności z prawem Unii Europejskiej."
Art. 70a,1,W odniesieniu do projektu ustawy może zostać przeprowadzone wysłuchanie publiczne.
Art. 70a,2,"Uchwała w sprawie przeprowadzenia wysłuchania publicznego podejmowana jest przez komisję, do której projekt został skierowany do rozpatrzenia."
Art. 70a,3,Uchwała o przeprowadzeniu wysłuchania publicznego podejmowana jest na pisemny wniosek złożony komisji przez posła.
Art. 70a,4,"Uchwała o przeprowadzeniu wysłuchania publicznego może zostać podjęta po zakończeniu pierwszego czytania projektu, a przed rozpoczęciem jego szczegółowego rozpatrywania."
Art. 70a,5,"Uchwała o przeprowadzeniu wysłuchania publicznego zawiera w szczególności datę i godzinę przeprowadzenia wysłuchania publicznego. Uchwała oraz informacja dotycząca miejsca przeprowadzenia wysłuchania publicznego podlegają udostępnieniu w Systemie Informacyjnym Sejmu, co najmniej na 14 dni przed dniem wysłuchania publicznego, z zastrzeżeniem ust. 6."
Art. 70a,6,"W przypadku projektów, o których mowa w art. 71 ust. 1 i art. 105 pkt 1, uchwała oraz informacja dotycząca miejsca przeprowadzenia wysłuchania publicznego podlegają udostępnieniu w Systemie Informacyjnym Sejmu co najmniej na 3 dni przed dniem wysłuchania publicznego. Przepisu art. 70b ust. 1 nie stosuje się."
Art. 70a,7,W przypadku zgłoszenia wniosku o odrzucenie projektu ustawy wniosek ten zostaje rozstrzygnięty przed rozstrzygnięciem wniosku o przeprowadzenie wysłuchania publicznego. Wniosek o przeprowadzenie wysłuchania publicznego jest rozstrzygany jedynie w przypadku odrzucenia przez Sejm przedstawionego w sprawozdaniu komisji wniosku o odrzucenie projektu.
Art. 70b,1,"Prawo wzięcia udziału w wysłuchaniu publicznym dotyczącym projektu ustawy mają podmioty, które po ogłoszeniu projektu w formie druku w trybie określonym w art. 35 ust. 1 zgłosiły do Sejmu, co najmniej na 10 dni przed dniem wysłuchania publicznego, zainteresowanie pracami nad projektem ustawy, z zastrzeżeniem ust. 2."
Art. 70b,2,"Prawo wzięcia udziału w wysłuchaniu publicznym dotyczącym projektu ustawy mają również podmioty, które zgłosiły w trybie przewidzianym w ustawie z dnia 7 lipca 2005 r. o działalności lobbingowej w procesie stanowienia prawa zainteresowanie pracami nad projektem ustawy."
Art. 70c,1,"Zgłoszenie, o którym mowa w art. 70b ust. 1, wnosi się do Marszałka Sejmu na urzędowym formularzu."
Art. 70c,2,"Zgłoszenie, o którym mowa w art. 70b ust. 1, podlega udostępnieniu w Systemie Informacyjnym Sejmu, z wyjątkiem adresu osoby fizycznej."
Art. 70c,3,"Podmiot dokonujący zgłoszenia, o którym mowa w art. 70b ust. 1, podaje w zgłoszeniu:"
Art. 70c,1,"imię (imiona) i nazwisko oraz adres osoby uprawnionej do reprezentowania tego podmiotu w pracach nad projektem ustawy,"
Art. 70c,2,"jeżeli występuje na rzecz osoby prawnej - nazwę i siedzibę tej osoby,"
Art. 70c,3,"jeżeli występuje na rzecz podmiotu innego niż osoba prawna - odpowiednio, jego imię i nazwisko oraz adres albo jego nazwę i siedzibę,"
Art. 70c,4,"interes, który w odniesieniu do danej regulacji zamierza chronić, oraz rozwiązanie prawne, o którego uwzględnienie będzie zabiegać."
Art. 70c,4,"Do zgłoszenia, o którym mowa w art. 70b ust. 1, załącza się:"
Art. 70c,1,"w przypadku gdy podmiot dokonujący zgłoszenia występuje w ramach zawodowej działalności lobbingowej - zaświadczenie albo oświadczenie o wpisie do rejestru podmiotów wykonujących zawodową działalność lobbingową,"
Art. 70c,2,"w przypadku gdy podmiot dokonujący zgłoszenia występuje na rzecz osoby prawnej zarejestrowanej w Krajowym Rejestrze Sądowym - wyciąg z Krajowego Rejestru Sądowego albo oświadczenie o wpisie do rejestru przedsiębiorców w Krajowym Rejestrze Sądowym, dotyczące tej osoby prawnej."
Art. 70c,4," Składający oświadczenie, o którym mowa w ust. 4 pkt 1 lub 2, jest obowiązany do zawarcia w nim klauzuli następującej treści: ""Jestem świadomy odpowiedzialności karnej za złożenie fałszywego oświadczenia.""."
Art. 70c,5,"Podmioty, o których mowa w art. 70b ust. 1, które zgłosiły zainteresowanie pracami nad projektem ustawy, mają obowiązek poinformować niezwłocznie Marszałka Sejmu o zmianie danych, o których mowa w ust. 3 i 4. Zgłoszenia zmiany dokonuje się poprzez wypełnienie i wniesienie nowego formularza. Przepis ust. 2 stosuje się odpowiednio."
Art. 70c,6,"Zgłoszenie, o którym mowa w art. 70b ust. 1, które nie odpowiada warunkom określonym w ust. 3-4a, uznaje się za bezskuteczne i nie podlega ono udostępnieniu w trybie określonym w ust. 2."
Art. 70c,7,"Wzór urzędowego formularza, o którym mowa w ust. 1, określa Marszałek Sejmu w drodze zarządzenia. Wzór ten podlega udostępnieniu w Systemie Informacyjnym Sejmu."
Art. 70d,1,Z przyczyn lokalowych lub technicznych prezydium komisji może ograniczyć liczbę podmiotów biorących udział w wysłuchaniu publicznym. Ograniczenie to powinno zostać dokonane w oparciu o uzasadnione kryterium zastosowane jednolicie wobec wszystkich podmiotów. Kryterium może stanowić w szczególności kolejność zgłoszeń.
Art. 70d,2,"W przypadku, o którym mowa w ust. 1, informacja o podmiotach dopuszczonych do udziału w wysłuchaniu publicznym podlega udostępnieniu w Systemie Informacyjnym Sejmu co najmniej na 2 dni przed dniem wysłuchania publicznego."
Art. 70e,1,"Jeżeli ze względów lokalowych lub technicznych, w szczególności ze względu na liczbę osób chętnych do wzięcia udziału w wysłuchaniu publicznym, nie jest możliwe zorganizowanie wysłuchania publicznego:"
Art. 70e,1,"prezydium komisji może zmienić termin lub miejsce wysłuchania publicznego, podając w Systemie Informacyjnym Sejmu przyczyny tej zmiany oraz nowy termin lub miejsce wysłuchania publicznego,"
Art. 70e,2,"komisja może odwołać wysłuchanie publiczne, podając w Systemie Informacyjnym Sejmu przyczyny odwołania."
Art. 70e,2,"Prawo wzięcia udziału w wysłuchaniu publicznym, którego termin został zmieniony, mają jedynie te podmioty, które uprzednio zgłosiły, na zasadach określonych w art. 70b, zainteresowanie pracami nad projektem ustawy."
Art. 70f,1,Wysłuchanie publiczne odbywa się przed rozpoczęciem szczegółowego rozpatrywania projektu.
Art. 70f,2,Wysłuchanie publiczne odbywa się tylko na jednym posiedzeniu komisji.
Art. 70f,3,"Porządek dzienny posiedzenia komisji, na którym przeprowadza się wysłuchanie publiczne, nie może obejmować innych punktów porządku dziennego."
Art. 70g,1,"Przewodniczący komisji ustala kolejność oraz czas wystąpień podmiotów, które biorą udział w wysłuchaniu publicznym."
Art. 70g,2,"Na posiedzeniu, na którym przeprowadza się wysłuchanie publiczne, podmiot, o którym mowa w ust. 1, może wystąpić tylko raz."
Art. 70g,3,"Przewodniczący komisji może przedłużyć czas wystąpienia podmiotu, o którym mowa w ust. 1."
Art. 70h,1,"W szczególnie uzasadnionych przypadkach przewodniczący komisji może przerwać posiedzenie, na którym przeprowadza się wysłuchanie publiczne."
Art. 70h,2,"O dacie, godzinie i miejscu wznowienia posiedzenia postanawia przewodniczący komisji."
Art. 70h,3,"Informację o terminie wznowienia posiedzenia podaje przewodniczący komisji na posiedzeniu komisji, o którym mowa w ust. 1, lub umieszcza się ją w Systemie Informacyjnym Sejmu."
Art. 70i,1,"Podmiot, który zgłosił zainteresowanie pracami nad projektem ustawy i bierze udział w wysłuchaniu publicznym, może na posiedzeniu, na którym przeprowadza się wysłuchanie publiczne, złożyć do protokołu tekst niewygłoszonego na posiedzeniu wystąpienia. Teksty niewygłoszone są oznakowane w protokole w sposób umożliwiający ich odróżnienie od tekstów wygłoszonych."
Art. 70i,2,"Przepis ust. 1 stosuje się do podmiotów, które zgłosiły zainteresowanie pracami nad projektem ustawy i nie wzięły udziału w wysłuchaniu publicznym, z tym że złożenie tekstu może nastąpić do dnia wysłuchania publicznego."
Art. 71,1,"Marszałek Sejmu, nadając bieg projektowi ustawy wniesionemu do Sejmu przez Radę Ministrów w trybie art. 123 Konstytucji, zwanemu dalej ""pilnym projektem ustawy"", ustala jednocześnie orientacyjny kalendarz prac w Sejmie nad projektem."
Art. 71,2,"Marszałek Sejmu, po zasięgnięciu opinii Prezydium Sejmu, może zwrócić Radzie Ministrów pilny projekt ustawy w celu uzupełnienia, jeżeli uzasadnienie dołączone do projektu jest niekompletne. Art. 34 stosuje się odpowiednio."
Art. 72,1,Marszałek Sejmu zarządza drukowanie pilnych projektów ustaw niezwłocznie po ich otrzymaniu.
Art. 72,2,"Doręczenie projektu posłom może być - w uzasadnionych wypadkach - zastąpione podaniem do wiadomości, że druki projektu są wyłożone do odbioru w Kancelarii Sejmu. Art. 35 ust. 2 stosuje się odpowiednio."
Art. 73,1,Pierwsze czytanie pilnego projektu ustawy przeprowadza się na posiedzeniu Sejmu lub komisji. Marszałek Sejmu może zarządzić przeprowadzenie pierwszego czytania bez zachowania terminu określonego w art. 37 ust. 4.
Art. 73,2,"Marszałek Sejmu, kierując pilny projekt ustawy do komisji, ustala im jednocześnie termin przedstawienia sprawozdania, nie dłuższy jednak niż 30 dni."
Art. 73,2," W odniesieniu do pilnego projektu ustawy można przeprowadzić wysłuchanie publiczne, o którym mowa w rozdziale 1a."
Art. 73,3,"Przepisy art. 38, art. 39 ust. 1 i 2 i art. 40-43 stosuje się odpowiednio."
Art. 74,,"Pilny projekt ustawy Marszałek Sejmu wprowadza do porządku dziennego posiedzenia Sejmu, najbliższego po zakończeniu prac komisji."
Art. 75,,Przed rozpoczęciem drugiego czytania Rada Ministrów może wycofać klauzulę pilności.
Art. 76,1,Drugie czytanie pilnego projektu ustawy obejmuje:
Art. 76,1,"przedstawienie Sejmowi sprawozdania komisji o projekcie ustawy,"
Art. 76,2,przeprowadzenie debaty i zgłaszanie poprawek.
Art. 76,2,Do trzeciego czytania pilnego projektu ustawy stosuje się odpowiednio przepisy art. 47-49.
Art. 76,3,"Marszałek Sejmu odmawia poddania pod głosowanie poprawki dotyczącej pilnego projektu ustawy, która uprzednio nie była przedstawiona komisji w formie pisemnej."
Art. 76,4,Przepisy art. 44 ust. 2 i art. 50 stosuje się odpowiednio.
Art. 77,,"Marszałek Sejmu przesyła niezwłocznie, nie później jednak niż w ciągu 3 dni od dnia uchwalenia przez Sejm ustawy pilnej, Marszałkowi Senatu i Prezydentowi, potwierdzony swoim podpisem, tekst uchwalonej ustawy. Art. 52 ust. 2 stosuje się odpowiednio."
Art. 78,1,Uchwałę Senatu zawierającą propozycję dokonania określonych zmian w uchwalonej przez Sejm ustawie pilnej lub jej odrzucenia Sejm rozpatruje na posiedzeniu najbliższym po jej doręczeniu.
Art. 78,2,"Marszałek Sejmu - ze względu na złożoność propozycji Senatu - może uprzednio skierować uchwałę Senatu do rozpatrzenia przez komisje, które pilny projekt ustawy rozpatrywały. Art. 54 ust. 2-4 stosuje się odpowiednio."
Art. 79,,"Tekst ustawy pilnej, ustalony w wyniku rozpatrzenia propozycji Senatu, Marszałek Sejmu przesyła Prezydentowi niezwłocznie, nie później jednak niż w ciągu 3 dni od dnia jej uchwalenia."
Art. 80,,"W postępowaniu w sprawie ustawy pilnej, której podpisania Prezydent odmówił, Prezydium Sejmu tak określa tok prac nad wnioskiem Prezydenta o ponowne rozpatrzenie ustawy pilnej, aby od dnia wpłynięcia wniosku Prezydenta do dnia ostatecznego rozstrzygnięcia sprawy przez Sejm nie upłynęło więcej niż 7 dni. Art. 64 stosuje się odpowiednio."
Art. 81,1,"Jeżeli projekt ustawy nie zostanie skierowany do Komisji Ustawodawczej, Prezydium Komisji Ustawodawczej może wyznaczyć spośród członków Komisji Ustawodawczej przedstawicieli, którzy uczestniczą w posiedzeniach komisji, do których projekt został skierowany, zwanych dalej w niniejszym rozdziale ""komisjami właściwymi""."
Art. 81,2,"Przepisy ust. 1 nie mają zastosowania do postępowania, o którym mowa w dziale II rozdział 4."
Art. 81,3,"Przedstawiciele Komisji Ustawodawczej, uczestnicząc w posiedzeniach komisji właściwych, zgłaszają wnioski lub propozycje poprawek w imieniu Komisji Ustawodawczej, bez prawa udziału w głosowaniu."
Art. 82,1,"Po rozpatrzeniu projektu przez komisje właściwe wnioski lub propozycje poprawek, zgłoszone przez przedstawicieli Komisji Ustawodawczej, o których mowa w art. 81 ust. 1, i nieuwzględnione przez komisje właściwe, mogą zostać przedłożone Prezydium Komisji Ustawodawczej przez przedstawicieli Komisji Ustawodawczej."
Art. 82,2,"Jeżeli Prezydium Komisji Ustawodawczej uzna wnioski lub propozycje poprawek, o których mowa w ust. 1, za zasadne w całości lub w części, kieruje je na posiedzenie Komisji Ustawodawczej, która sporządza stanowisko zawierające wnioski lub propozycje poprawek do projektu. Jeżeli Prezydium Komisji Ustawodawczej nie uzna wniosków lub propozycji poprawek za zasadne, informuje o tym Marszałka Sejmu."
Art. 82,3,"Komisja Ustawodawcza powiadamia przewodniczących komisji właściwych o posiedzeniu, którego przedmiotem jest rozpatrzenie wniosków lub propozycji poprawek, o których mowa w ust. 1. W posiedzeniu uczestniczą przedstawiciele komisji właściwych. Nieobecność przedstawicieli komisji nie wstrzymuje rozpatrzenia przez Komisję Ustawodawczą wniosków lub propozycji poprawek, o których mowa w ust. 1."
Art. 83,1,"Stanowisko Komisji Ustawodawczej, o którym mowa w art. 82 ust. 2, Marszałek Sejmu kieruje do komisji właściwych w celu ponownego rozpatrzenia projektu zawartego w sprawozdaniu w zakresie wniosków lub propozycji poprawek zawartych w stanowisku Komisji Ustawodawczej."
Art. 83,2,"Wnioski lub propozycje poprawek zawarte w stanowisku Komisji Ustawodawczej, odrzucone przez komisje właściwe, zamieszcza się w sprawozdaniu jako wnioski Komisji Ustawodawczej. Do wniosków Komisji Ustawodawczej przepisy art. 43 ust. 3 stosuje się odpowiednio."
Art. 84,1,"Jeżeli przedstawiciele Komisji Ustawodawczej uczestniczyli w postępowaniu, o którym mowa w art. 81-83, mogą uczestniczyć również w posiedzeniu komisji, do której projekt został skierowany w trybie art. 47 ust. 1."
Art. 84,2,"Przedstawiciele Komisji Ustawodawczej mogą przedstawiać odrębne wnioski o przyjęcie lub odrzucenie poprawek i wniosków zgłoszonych w drugim czytaniu, z zastrzeżeniem ust. 5."
Art. 84,3,"Wnioski, o których mowa w ust. 2, zgłoszone przez przedstawicieli Komisji Ustawodawczej i nieuwzględnione przez komisje właściwe są przedkładane Prezydium Komisji Ustawodawczej przez przedstawicieli Komisji Ustawodawczej."
